"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
labdir_phone,a_clinical_lab_contact_information,,text,"<span style=""margin-left: 10%;"">Phone:",,,phone,,,,,,,,,,
labdir_email,a_clinical_lab_contact_information,,text,"<span style=""margin-left: 10%;"">Email:",,,email,,,,,,,,,,
microsup,a_clinical_lab_contact_information,,descriptive,"Microbiology Supervisor",,,,,,,,,,,,,
microsup_name,a_clinical_lab_contact_information,,text,"<span style=""margin-left: 10%;""> Name:",,,,,,,,,,,,,
mb_phone,a_clinical_lab_contact_information,,text,"<span style=""margin-left: 10%;"">Phone:",,,phone,,,,,,,,,,
microsup_email,a_clinical_lab_contact_information,,text,"<span style=""margin-left: 10%;"">Email:",,,email,,,,,,,,,,
genlab,a_clinical_lab_contact_information,,descriptive,"General Laboratory",,,,,,,,,,,,,
genlab_phone,a_clinical_lab_contact_information,,text,"<span style=""margin-left: 10%;"">Phone:",,,phone,,,,,,,,,,
genlab_fax,a_clinical_lab_contact_information,,text,"<span style=""margin-left: 10%;"">Fax:",,,phone,,,,,,,,,,
genlab_email,a_clinical_lab_contact_information,,text,"<span style=""margin-left: 10%;"">Email:",,,email,,,,,,,,,,
more,a_clinical_lab_contact_information,,notes,"Are there any additional contacts the laboratory would like to provide to state public health? 
(Please include name, title, and contact information.)",,,,,,,,,,,,,
labreportingreq,b_disease_reporting_and_isolate_submission,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: center;"">The <span style=""text-decoration: underline;"">originating</span> lab (where a specimen is first collected)</p> <p style=""text-align: center;"">AND</p> <p style=""text-align: center;"">the <span style=""text-decoration: underline;"">testing</span> lab (where a specimen is actually tested)</p> <p style=""text-align: center;"">are responsible for reporting to CDPHE.</p></div>",,,,,,,,,,,,,
reportingguidanceyn,b_disease_reporting_and_isolate_submission,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Please review CDPHE's guidance for...</span></p> <ul> <li>Disease reporting in Colorado </li> </ul> <p>                      <a style=""font-size: medium; font-weight: 400;"" href=""https://www.colorado.gov/pacific/cdphe/report-a-disease"" target=""_blank"" rel=""noopener"">https://www.colorado.gov/pacific/cdphe/report-a-disease</a></p> <ul> <li>Specimen submission requirements for clinical microbiology laboratories in Colorado               </li> </ul> <p>                      <a style=""font-size: medium; font-weight: 400;"" href=""https://www.colorado.gov/pacific/cdphe/report-a-disease"" target=""_blank"" rel=""noopener"">https://www.colorado.gov/pacific/cdphe/report-a-disease</a></p> <p>(links will open in a new window)</p></div>",,,,,,,,,,,,,
oosreporting,b_disease_reporting_and_isolate_submission,,radio,"<div class=""rich-text-field-label""><p>B1. Where do you send lab reports for reportable conditions when a patient resides outside of Colorado?</p></div>","1, CDPHE | 2, State where the patient resides | 3, Local Public Health Agency | 4, Nowhere | 5, Other",,,,,,,,,,,,
oosreportother,b_disease_reporting_and_isolate_submission,,text,"<div class=""rich-text-field-label""><p>If Other, please describe:</p></div>",,,,,,,"[oosreporting] = '5'",,,,,,
contactforinfoyn,b_disease_reporting_and_isolate_submission,,yesno,"<div class=""rich-text-field-label""><p>If you answered no, or have general reporting/isolate submission questions, would you like us to contact you with more information? </p></div>",,,,,,,,,,,,,
contactinfo,b_disease_reporting_and_isolate_submission,,text,"<div class=""rich-text-field-label""><p>If you would like to be contacted, please provide your name and preferred contact information:</p></div>",,,,,,,"[contactforinfoyn] = '1'",,,,,,
antibiogram_description,c_antibiogram,,descriptive,"An antibiogram is a report or table that summarizes the results of antimicrobial susceptibility testing on clinical isolates from a defined period of time (such as a year). It reflects the percentages of organisms that are susceptible to antimicrobial agents routinely tested in the microbiology laboratory. Clinicians use facility-specific antibiograms to guide antibiotic selection for treatment of infection before a patient's culture and susceptibility results are available. A regional antibiogram summarizes the pooled results of facility-specific antibiogram data for a region. Regional antibiogram data guide public health antimicrobial stewardship and antimicrobial resistance prevention efforts.",,,,,,,"[lab_hosp_nm] = '1'
or [lab_hosp_nm] = '2'
or [lab_hosp_nm] = '3'
or [lab_hosp_nm] = '4'
or [lab_hosp_nm] = '5'
or [lab_hosp_nm] = '7'
or [lab_hosp_nm] = '10'
or [lab_hosp_nm] = '11'
or [lab_hosp_nm] = '12'
or [lab_hosp_nm] = '13'
or [lab_hosp_nm] = '14'
or [lab_hosp_nm] = '16'
or [lab_hosp_nm] = '17'
or [lab_hosp_nm] = '18'
or [lab_hosp_nm] = '19'
or [lab_hosp_nm] = '20'
or [lab_hosp_nm] = '21'
or [lab_hosp_nm] = '22'
or [lab_hosp_nm] = '23'
or [lab_hosp_nm] = '24'
or [lab_hosp_nm] = '26'
or [lab_hosp_nm] = '28'
or [lab_hosp_nm] = '30'
or [lab_hosp_nm] = '32'
or [lab_hosp_nm] = '33'
or [lab_hosp_nm] = '35'
or [lab_hosp_nm] = '36'
or [lab_hosp_nm] = '37'
or [lab_hosp_nm] = '38'
or [lab_hosp_nm] = '39'
or [lab_hosp_nm] = '40'
or [lab_hosp_nm] = '41'
or [lab_hosp_nm] = '42'
or [lab_hosp_nm] = '44'
or [lab_hosp_nm] = '46'
or [lab_hosp_nm] = '47'
or [lab_hosp_nm] = '48'
or [lab_hosp_nm] = '49'
or [lab_hosp_nm] = '50'
or [lab_hosp_nm] = '51'
or [lab_hosp_nm] = '53'
or [lab_hosp_nm] = '55'
or [lab_hosp_nm] = '58'
or [lab_hosp_nm] = '59'
or [lab_hosp_nm] = '61'
or [lab_hosp_nm] = '63'
or [lab_hosp_nm] = '65'
or [lab_hosp_nm] = '66'
or [lab_hosp_nm] = '67'
or [lab_hosp_nm] = '68'
or [lab_hosp_nm] = '70'
or [lab_hosp_nm] = '72'
or [lab_hosp_nm] = '73'
or [lab_hosp_nm] = '74'
or [lab_hosp_nm] = '75'
or [lab_hosp_nm] = '76'
or [lab_hosp_nm] = '78'
or [lab_hosp_nm] = '79'
or [lab_hosp_nm] = '80'
or [lab_hosp_nm] = '81'
or [lab_hosp_nm] = '82'
or [lab_hosp_nm] = '85'
or [lab_hosp_nm] = '86'
or [lab_hosp_nm] = '87'
or [lab_hosp_nm] = '89'
or [lab_hosp_nm] = '90'
or [lab_hosp_nm] = '91'
or [lab_hosp_nm] = '92'
or [lab_hosp_nm] = '93'",,,,,,
antibiogram_request,c_antibiogram,,descriptive,"CDPHE produces a regional antibiogram (an antibiotic susceptibility report) for Colorado by pooling facility-specific antibiogram data from hospitals, nursing homes, and clinical laboratories. Please provide contact information for the person or persons in your laboratory responsible for creating antibiograms specific to each facility that your laboratory serves. CDPHE will contact these persons to request that they voluntarily submit antibiogram data.",,,,,,,,,,,,,
contact_name_1,c_antibiogram,,text,"Contact Name #1",,,,,,,,,,,,,
contact_email_1,c_antibiogram,,text,"Contact Email #1",,,,,,,,,,,,,
contact_phone_1,c_antibiogram,,text,"Contact Phone #1",,,,,,,,,,,,,
contact_name_2,c_antibiogram,,text,"Contact Name #2",,,,,,,,,,,,,
contact_email_2,c_antibiogram,,text,"Contact Email #2",,,,,,,,,,,,,
contact_phone_2,c_antibiogram,,text,"Contact Phone #2",,,,,,,,,,,,,
antibiogram_outside_lab,c_antibiogram,,descriptive,"If available, please also provide contact information for a person or persons outside your laboratory (such as a clinician, pharmacist, or infection preventionist) that could provide antibiogram data from each facility your laboratory serves, and/or from multiple facilities within a health system. CDPHE will contact these persons to request that they voluntarily submit their data.",,,,,,,,,,,,,
contact_name_3,c_antibiogram,,text,"Contact Name #3",,,,,,,,,,,,,
contact_email_3,c_antibiogram,,text,"Contact Email #3",,,,,,,,,,,,,
contact_phone_3,c_antibiogram,,text,"Contact Phone #3",,,,,,,,,,,,,
contact_name_4,c_antibiogram,,text,"Contact Name #4",,,,,,,,,,,,,
contact_email_4,c_antibiogram,,text,"Contact Email #4",,,,,,,,,,,,,
contact_phone_4,c_antibiogram,,text,"Contact Phone #4",,,,,,,,,,,,,
antibiogram_comments,c_antibiogram,,notes,"Additional comments about contacts for collecting antibiogram data:",,,,,,,,,,,,,
pertus1,d_vaccine_preventable_diseases_and_respiratory_pat,"<font size=5; font color=""navy"">D1. PERTUSSIS 
<font size=3; font color=""navy"">The following questions can pertain to a variety of different specimen types. ",radio,"D1. Does your laboratory currently perform <u>Pertussis</u> testing on-site? ","1, Yes|2, No",,,,,,,,,,,,
pertus_no,d_vaccine_preventable_diseases_and_respiratory_pat,,text,"<i>If no</i>, where do you send specimens for <u>Pertussis</u> testing?",,,,,,,"[pertus1] = '2'",,,,,,
pert_method,d_vaccine_preventable_diseases_and_respiratory_pat,,checkbox,"D.1.1.  Which method(s) does your laboratory currently use for <u>Pertussis</u> testing? (Check ALL that apply.)","1, PCR|2, Serology|3, Culture|4, Respiratory Panel|5, Other|6, Unknown",,,,,,"[pertus1] = '1'",,,,,,
pcr_species,d_vaccine_preventable_diseases_and_respiratory_pat,,checkbox,"D.1.1.a.  Does your laboratory distinguish between B. pertussis, B. parapertussis and/or B. holmseii?","1, Yes|2, No",,,,,,"[pert_method(1)] = '1'",,,,,,
pcr_targs,d_vaccine_preventable_diseases_and_respiratory_pat,,checkbox,"D.1.1.b.  <span style=""margin-left: 5%;"">Which <i>PCR </i>targets does your laboratory use? (check all that apply)","1, IS481|2, pIS1001|3, hIS1001|4, ptxS1|5, Unknown",,,,,,"[pert_method(1)] = '1'",,,,,,
ct_value,d_vaccine_preventable_diseases_and_respiratory_pat,,text,"D.1.1.c.  What is your CT value cut-off for a positive PCR?",,,,,,,[pert_method(1)]='1',,,,,,
serology,d_vaccine_preventable_diseases_and_respiratory_pat,,descriptive,"D.1.2.  <i>For serology</i>, please specify assay name, immunoglobulin type (ex. IgG, or IgM), and antigen type(s) (ex. FHA, PT, WC). ",,,,,,,"[pert_method(2)] = '1'",,,,,,
sero_nm,d_vaccine_preventable_diseases_and_respiratory_pat,,text,"D.1.2.a.  <span style=""margin-left: 5%;"">Assay Name: ",,"(Ex: Focus)",,,,,"[pert_method(2)] = '1'",,,,,,
sero2,d_vaccine_preventable_diseases_and_respiratory_pat,,text,"D.1.2.b.  <span style=""margin-left: 5%;"">Immunoglobulin <i>and</i> Antigen Type: 
",,"(Ex: IgG FHA and PT)",,,,,"[pert_method(2)] = '1'",,,,,,
pert_other,d_vaccine_preventable_diseases_and_respiratory_pat,,text,"D.1.3.  <span style=""margin-left: 5%;""><i>If other method</i>, please specify:",,,,,,,"[pert_method(5)] = '1'",,,,,,
pertus_coms,d_vaccine_preventable_diseases_and_respiratory_pat,,notes,"D.1.4. Comments about Pertussis testing:",,,,,,,,,,,,,
resp2,d_vaccine_preventable_diseases_and_respiratory_pat,"<font size=5; font color=""navy"">D2. RESPIRATORY PATHOGEN PANEL
<font size=3; font color=""navy"">The following questions can pertain to a variety of different specimen types. ",radio,"D.2.1. Does your laboratory currently perform <u>Respiratory Pathogen Panel PCR that can detect B. pertussis</u> on-site? ","1, Yes | 2, No",,,,,,,,,,,,
resp_plat,d_vaccine_preventable_diseases_and_respiratory_pat,,checkbox,"D.2.1.a. <span style=""margin-left: 10%;""><i>If yes</i>, which platform does your laboratory use? (Check ALL that apply.)","1, Luminex | 2, Verigene | 3, Biofire | 4, Binax | 5, Prodesse | 6, Unknown | 7, Other",,,,,,"[resp2] = '1'",,,,,,
resp_oth,d_vaccine_preventable_diseases_and_respiratory_pat,,text,"D.2.1.b. <span style=""margin-left: 20%;"">If other, please specify:",,,,,,,"[resp_plat(7)] = '1'",,,,,,
resp_send,d_vaccine_preventable_diseases_and_respiratory_pat,,radio,"D.2.2. Does your laboratory currently send out specimens for Respiratory Pathogen Panel testing?","1, Yes | 2, No",,,,,,,,,,,,
resp_send_lab,d_vaccine_preventable_diseases_and_respiratory_pat,,text,"D.2.2.a.<span style=""margin-left: 10%;"">If yes, list send out lab and platform used at lab:",,,,,,,"[resp_send] = '1'",,,,,,
resp_coms,d_vaccine_preventable_diseases_and_respiratory_pat,,notes,"D.2.3. Comments about respiratory panel testing:",,,,,,,,,,,,,
ast_method,e_carbapenemase_testing,"<div class=""rich-text-field-label""><p>E. Carbapenamase Testing</p></div>",checkbox,"E1. What method does your lab use for antimicrobial susceptibility testing? (please select all that apply)","1, Kirby Bauer | 2, Etest | 3, Automated Instrument",,,,,,,,,,,,
ast_type,e_carbapenemase_testing,,checkbox,"E1.a. What Automated Instrument does your lab use for antimicrobial susceptibility testing? (select all that apply)","1, Microscan ® | 2, Phoenix ® | 3, Vitek ® | 4, Sensititre ® | 5, Other (please specify)",,,,,,[ast_method(3)]='1',,,,,,
ati_other,e_carbapenemase_testing,,text,"Other Automated Instrument(s):",,,,,,,[ast_type(5)]='1',,,,,,
ati_panel,e_carbapenemase_testing,,text,"E1.b. What panel does your system use for antimicrobial susceptibility testing? (please specify all panels used)",,,,,,,[ast_method(3)]='1',,,,,,
cp_testing,e_carbapenemase_testing,,radio,"E2. Do you perform carbapenemase (e.g., KPC, NDM) testing at your laboratory, or send the isolate offsite for carbapenemase testing (does not include carbapenemase testing at the CDPHE laboratory or the Antibiotic Resistance Laboratory Network)?","1, Yes | 2, No | 3, Unknown",,,,,,,,,,,,
cp_orgs,e_carbapenemase_testing,,checkbox,"E2.a. What organisms do you test for carbapenemases? (please select all that apply)","1, Enterobacteriaceae | 2, Pseudomonas aeruginosa | 3, Acinetobacter baumannii | 4, Other (please specify) | 5, Unknown",,,,,,"[cp_testing] = '1'",,,,,,
cp_orgs_other,e_carbapenemase_testing,,text,"Please specify what organism(s):",,,,,,,"[cp_orgs(4)] = '1'",,,,,,
cp_test_type,e_carbapenemase_testing,,checkbox,"E2.b. What type of carbapenemase testing is performed at your laboratory? (please select all that apply)","1, Cepheid® GeneXpert Carba-R | 2, RAPIDEC® CARBA NP (bioMérieux) | 3, BD Phoenix™ CPO detect test | 4, CHROMagar™ KPC | 5, Etest® KPC MP/MPB or Etest® MBL | 6, MALDI-TOF MS | 7, Verigene® Gram-Negative Blood Culture Test (Luminex/Nanosphere) | 8, FilmArray® Blood Culture Identification Panel (KPC only) [BioFire Diagnostics, Inc.] | 9, Rosco Diagnostica carbapenemase screening and confirmation kit | 10, Carbapenem Inactivation Method (CIM) | 11, Modified Carbapenem Inactivation Method (mCIM) | 12, eCIM alongside mCIM | 13, ARM-D® Kit, β-Lactamase | 14, Multiplex Real-Time PCR | 15, Modified Hodge Test (MHT) | 16, Other (please specify) | 17, Unknown",,,,,,"[cp_testing] = '1'",,,,,,
cp_testing_other,e_carbapenemase_testing,,text,"Other type of carbapenemase testing: ",,,,,,,"[cp_test_type(16)] = '1'",,,,,,
cp_test_reason,e_carbapenemase_testing,,checkbox,"E2.c. What prompts carbapenemase testing at your lab? (please select all that apply)","1, A specific antibiotic resistance profile | 2, Request from a clinician | 3, Request from infection prevention staff | 4, Other (please specify): | 5, Unknown",,,,,,"[cp_testing] = '1'",,,,,,
specify_resist_profile,e_carbapenemase_testing,,text,"<div class=""rich-text-field-label""><p>Specify the resistance profile that prompts carbapenemase testing:</p></div>",,,,,,,"[cp_test_reason(1)] = '1'",,,,,,
cp_test_reason_other,e_carbapenemase_testing,,notes,"Please specify other reason for carbapenemase testing at your lab:",,,,,,,"[cp_test_reason(4)] = '1'",,,,,,
cp_testing_comments,e_carbapenemase_testing,,notes,"E3. Additional comments about carbapenemases testing:",,,,,,,,,,,,,
lab,f_candidemia_eip_only," ",radio,"1. What kind of laboratory is this facility? ","1, Hospital laboratory|2, Commercial laboratory (Quest, etc.)|3, Other (specify)|9, Unknown",,,,,,,,,,,,
lab_specify,f_candidemia_eip_only,,text,"<div style=""padding-left:3em;"">Specify other laboratory type</div>",,,,,,,"[lab] = '3'",,RH,,,,
lab_cx_ltcf,f_candidemia_eip_only,,radio,"2. Does this facility ever receive blood cultures from nursing homes or other long-term care facilities? ","1, Yes|0, No|9, Unknown",,,,,,,,LH,,,,
lab_mycolab,f_candidemia_eip_only,,radio,"3. Does the clinical microbiology laboratory at your institution have a separate Mycology section or laboratory? ","1, Yes|0, No|9, Unknown",,,,,,,,LH,,,,
lab_cxsystem,f_candidemia_eip_only,,checkbox,"4. What kind of blood culture system does your laboratory use? 
<i>Check all that apply:</i>","bact, BacT/Alert | bact3d, BacT/Alert 3D | versa, VersaTREK | bactec, Bactec 9240 | bactecfx, Bactec FX | isol, Isolator tubes | oth, Other (specify)",,,,,,,,,,,,
cxsystem_specify,f_candidemia_eip_only,,text,"<div style=""padding-left:3em;"">Specify other blood culture system</div>",,,,,,,"[lab_cxsystem(oth)] = '1'",,RH,,,,
labcx_volume,f_candidemia_eip_only,,text,"5. What is the approximate volume of <u>any type</u> of fungal cultures performed <u>annually</u> in your laboratory? ",,,number,0,,,"[labcx_volume_unk] <> '1'",,LH,,,,
labcx_volume_unk,f_candidemia_eip_only,,radio,,"1, Unknown",,,,,,"[labcx_volume] = ''",,RH,,,,
labbloodcx_volume,f_candidemia_eip_only,,text,"6. What is the approximate volume of fungal cultures from <u>blood</u> performed <u>annually</u> in your laboratory? ",,,number,0,,,"[labbloodcx_volume_unk] <> '1'",,LH,,,,
labbloodcx_volume_unk,f_candidemia_eip_only,,radio,,"1, Unknown",,,,,,"[labbloodcx_volume] = ''",,,,,,
lab_yeastid,f_candidemia_eip_only,,radio,"7. Does this laboratory offer yeast identification either onsite or sent to another laboratory?","1, Yes | 0, No | 9, Unknown (Is there another laboratory staff member who can assist with this questionnaire?)",,,,,,,,LH,,,,
desc_yeast_unknown,f_candidemia_eip_only,,descriptive,"<div class=""blue"" style=""text-align:center;""><p style=""text-align:center;font-weight;font-size:16px;""> Is there another laboratory staff member who can assist with the questionnaire?<p></div>",,,,,,,"[lab_yeastid] = '9'",,,,,,
lab_yeastloc,f_candidemia_eip_only,,radio,"8. Where is yeast identification done?
 <i>Check the most applicable:</i>
","1, On-site, in the laboratory | 2, Sent to commercial lab | 3, Sent to affiliated hospital lab | 4, Sent to other local/regional, non-affiliated reference or public health laboratory | 5, Other (specify) | 9, Unknown",,,,,,"[lab_yeastid] = '1'",,,,,,
yeastloc_specify,f_candidemia_eip_only,,text,"<div style=""padding-left:3em;"">Specify other yeast identification location</div>
",,,,,,,"[lab_yeastloc] = '5'",,RH,,,,
